trip_id,hotel_name,nights,rooms,check_in_time,check_out_time,hotel_per_room_usd,duration_hours,price,is_weekend_checkin,season,hotel_brand,hotel_city,log_price
582979-5475b9940ee240bf9328a0cc0bc9900c,NH Hotel  - ottawa,7,1,2023-03-31 13:32:21.030,2023-04-07 11:00:00,110,165.460825,770,1,Spring,NH Hotel ,Ottawa,6.647688373563329
514785-863ac3b4eb984f1eb226d67955623a5d,Choice Hotels - montreal,4,1,2023-06-21 20:06:24.300,2023-06-25 11:00:00,87,86.89325000000001,348,0,Summer,Choice Hotels,Montreal,5.855071922202427
588386-233db0f627cf4aaaaeaa9a632daa5ec4,Accor - philadelphia,1,1,2023-04-04 10:43:44.175,2023-04-05 11:00:00,126,24.2710625,126,0,Spring,Accor,Philadelphia,4.844187086458591
600395-79e934e3dcf2462587a0beffbebd6783,Marriott  - memphis,2,2,2023-04-21 15:58:28.200,2023-04-23 11:00:00,153,43.025499999999994,612,1,Spring,Marriott ,Memphis,6.418364935936212
474120-a87f749cf54b4f4ca9262d07080a06b2,Accor - san francisco,5,2,2023-02-02 14:18:11.205,2023-02-07 11:00:00,346,116.6968875,3460,0,Winter,Accor,San Francisco,8.149312843635345
469464-778d4e7f482c45fc82f37d02a07f0b8a,Choice Hotels - calgary,3,2,2023-01-14 11:00:00.000,2023-01-17 11:00:00,129,72.0,774,1,Winter,Choice Hotels,Calgary,6.652863029353347
526855-8691d87fc4fe46ae941c577802c2056f,Radisson  - louisville,6,1,2023-03-12 13:42:22.545,2023-03-18 11:00:00,33,141.2937375,198,1,Spring,Radisson ,Louisville,5.293304824724492
540718-4f8b69d9c6264cb5a8973b7a48c25b0b,Hyatt - houston,14,1,2023-05-31 11:00:00.000,2023-06-14 11:00:00,145,336.0,2030,0,Spring,Hyatt,Houston,7.616283561580385
509515-a02942c01bbb465697e09ed3e48495c8,Choice Hotels - ottawa,4,1,2023-06-06 11:00:00.000,2023-06-10 11:00:00,174,96.0,696,0,Summer,Choice Hotels,Ottawa,6.546785410760524
486751-e7e65a5bc12243769cf849fa1342aac7,Aman Resorts - calgary,3,2,2023-05-23 13:25:39.495,2023-05-26 11:00:00,109,69.5723625,654,0,Spring,Aman Resorts,Calgary,6.484635235635252
557799-00e2c8f324a4498c8907fb2ebbdc21d7,Crowne Plaza - boston,7,1,2023-02-03 11:00:00.000,2023-02-10 11:00:00,78,168.0,546,1,Winter,Crowne Plaza,Boston,6.304448802421981
516704-bbf5ac8dfbcf4a0ca5d72da05cdaef8e,NH Hotel  - new york,4,1,2023-07-21 15:56:51.990,2023-07-25 11:00:00,370,91.052225,1480,1,Summer,NH Hotel ,New York,7.300472814267799
587483-3c7662807a0e4e6db083c6a40f8210d5,Radisson  - new york,1,1,2023-02-17 11:11:47.265,2023-02-18 11:00:00,135,23.8035375,135,1,Winter,Radisson ,New York,4.912654885736052
